# x	y	u	v	mask
 14.3338	  3.6728	 -1.7012	  2.1557	  0.0000
 14.9865	  3.6728	 -1.7604	  2.2838	  1.0000
  0.6268	  3.0201	 -3.7280	  4.0167	  1.0000
  1.2795	  3.0201	 -3.4633	  3.7746	  1.0000
  1.9322	  3.0201	 -3.2198	  3.5197	  1.0000
  2.5850	  3.0201	 -3.0544	  3.3003	  1.0000
  3.2377	  3.0201	 -2.7695	  2.8755	  1.0000
  3.8904	  3.0201	 -2.4627	  2.4819	  0.0000
  4.5431	  3.0201	 -2.9613	  2.4179	  0.0000
  5.1958	  3.0201	 -2.7705	  1.5260	  0.0000
  5.8485	  3.0201	 -2.2403	  1.4560	  0.0000
  6.5012	  3.0201	 -1.7330	  1.7155	  0.0000
  7.1540	  3.0201	 -1.7743	  2.0799	  0.0000
  7.8067	  3.0201	 -1.6196	  2.3744	  0.0000
  8.4594	  3.0201	 -1.6898	  2.0335	  0.0000
  9.1121	  3.0201	 -1.7551	  1.9557	  0.0000
  9.7648	  3.0201	 -1.9385	  1.8715	  0.0000
 10.4175	  3.0201	 -1.7228	  1.6377	  0.0000
 11.0702	  3.0201	 -1.7160	  1.5134	  0.0000
 11.7230	  3.0201	 -1.3374	  1.7138	  0.0000
 12.3757	  3.0201	 -1.5517	  1.9855	  1.0000
 13.0284	  3.0201	 -1.4674	  1.9086	  0.0000
 13.6811	  3.0201	 -1.2658	  1.9561	  0.0000
 14.3338	  3.0201	 -1.5355	  1.9468	  0.0000
 14.9865	  3.0201	 -1.6583	  1.7522	  0.0000
  0.6268	  2.3674	 -4.2588	  4.4643	  0.0000
  1.2795	  2.3674	 -4.0335	  4.8104	  0.0000
  1.9322	  2.3674	 -3.1337	  3.5217	  1.0000
  2.5850	  2.3674	 -2.9816	  3.2833	  1.0000
  3.2377	  2.3674	 -2.6594	  2.8034	  1.0000
  3.8904	  2.3674	 -2.3723	  2.3824	  1.0000
  4.5431	  2.3674	 -2.2175	  2.0936	  1.0000
  5.1958	  2.3674	 -3.8781	  1.1301	  0.0000
  5.8485	  2.3674	 -3.1364	  1.3623	  0.0000
  6.5012	  2.3674	 -2.6749	  1.4240	  0.0000
  7.1540	  2.3674	 -2.2439	  2.2004	  0.0000
  7.8067	  2.3674	 -1.7275	  2.3691	  0.0000
  8.4594	  2.3674	 -1.4841	  2.3382	  0.0000
  9.1121	  2.3674	 -1.4139	  2.3140	  0.0000
  9.7648	  2.3674	 -1.6137	  1.9681	  0.0000
 10.4175	  2.3674	 -1.6092	  1.5315	  0.0000
 11.0702	  2.3674	 -1.4725	  1.6133	  0.0000
 11.7230	  2.3674	 -1.2323	  1.2845	  0.0000
 12.3757	  2.3674	 -1.3250	  1.7824	  1.0000
 13.0284	  2.3674	 -1.2294	  1.8236	  1.0000
 13.6811	  2.3674	 -1.2134	  1.8260	  1.0000
 14.3338	  2.3674	 -0.9776	  1.9541	  0.0000
 14.9865	  2.3674	 -1.1658	  1.9070	  1.0000
  0.6268	  1.7147	 -5.4266	  5.7983	  0.0000
  1.2795	  1.7147	 -3.4627	  3.9768	  1.0000
  1.9322	  1.7147	 -3.1332	  3.5361	  1.0000
  2.5850	  1.7147	 -2.9884	  3.2928	  1.0000
  3.2377	  1.7147	 -2.6812	  2.8013	  1.0000
  3.8904	  1.7147	 -2.4094	  2.3618	  1.0000
  4.5431	  1.7147	 -2.2580	  2.0602	  1.0000
  5.1958	  1.7147	 -2.5968	  1.1290	  0.0000
  5.8485	  1.7147	 -2.1769	  1.8341	  1.0000
  6.5012	  1.7147	 -3.1621	  1.6236	  0.0000
  7.1540	  1.7147	 -3.1352	  2.1266	  0.0000
  7.8067	  1.7147	 -1.7423	  2.7536	  0.0000
  8.4594	  1.7147	 -1.5971	  2.8203	  0.0000
  9.1121	  1.7147	 -1.2064	  2.2248	  0.0000
  9.7648	  1.7147	 -1.4564	  1.8301	  0.0000
 10.4175	  1.7147	 -1.3926	  1.6761	  0.0000
 11.0702	  1.7147	 -1.1822	  1.5323	  0.0000
 11.7230	  1.7147	 -1.2001	  1.3082	  0.0000
 12.3757	  1.7147	 -1.1440	  1.1963	  0.0000
 13.0284	  1.7147	 -1.0919	  1.7027	  1.0000
 13.6811	  1.7147	 -1.0728	  1.7047	  1.0000
 14.3338	  1.7147	 -1.0578	  1.7494	  1.0000
 14.9865	  1.7147	 -1.0137	  1.7914	  1.0000
  0.6268	  1.0620	 -5.3237	  5.4398	  0.0000
  1.2795	  1.0620	 -4.9447	  5.6811	  0.0000
  1.9322	  1.0620	 -3.0442	  3.4791	  1.0000
  2.5850	  1.0620	 -2.9225	  3.2376	  1.0000
  3.2377	  1.0620	 -2.6416	  2.7181	  1.0000
  3.8904	  1.0620	 -2.3959	  2.2844	  1.0000
  4.5431	  1.0620	 -2.2817	  1.9932	  1.0000
  5.1958	  1.0620	 -2.3308	  1.8185	  1.0000
